一 eins
稲 Reispflanze
香 Weihrauch
季 Jahreszeit
委 Komitee
秀 übertreffen
透 durchsichtig
誘 verleiten
穀 Getreide
菌 Bakterien
米 Reis
粉 Mehl
粘 klebrig
粒 Korn
粧 schminken
迷 verirren
粋 chic
糧 Proviant
菊 Chrysantheme
奥 Tiefe
数 Zahl
楼 Wachturm
類 Sorte
漆 Lack
様 Gnädigste
求 fordern
球 Ball
救 retten
竹 Bambus
笑 lachen
笠 Bambushut
笹 Bambusgras
筋 Muskel
箱 Schachtel
筆 Schreibpinsel
筒 Röhre
等 u.s.w.
算 rechnen
答 Antwort
策 Strategie
簿 Verzeichnis
築 bauen
人 Mensch
佐 Assistent
但 jedoch
住 wohnen
位 Rang
仲 Verhältnis
体 Körper
悠 gelassen
件 Angelegenheit
仕 bedienen
他 anderes
伏 sich niederwerfen
伝 übermitteln
仏 Buddha
休 ausruhen
仮 vorläufig
伯 Graf
俗 volkstümlich
信 Glaube
佳 exzellent
依 abhängig
例 Beispiel
個 Individuum
健 gesund
側 Seite
侍 aufwarten
停 anhalten
値 Preis
倣 nacheifern
倒 umstürzen
偵 auskundschaften
僧 buddhistischer Priester
億 hundert Millionen
儀 Zeremonie
償 Wiedergutmachung
仙 Einsiedler
催 veranstalten
仁 Menschlichkeit
侮 verachten
使 benutzen
便 Bequemlichkeit
倍 doppelt
優 liebenswürdig
伐 fällen
宿 Herberge
傷 Wunde
保 bewahren
褒 loben
傑 meisterhaft
付 anhaften
符 Zeichen
府 Stadtpräfektur
任 Verantwortung
賃 Fahrgeld
代 Ersatz
袋 Sack
貸 Verleih
化 verwandeln
花 Blume
貨 Fracht
傾 sich neigen
何 was
荷 Gepäck
俊 hochbegabt
傍 Außenstehender
久 lange Zeit
畝 Furche
囚 Häftling
内 innerhalb
丙 drittklassig
柄 Gestaltung
肉 Fleisch
腐 verfaulen
座 sitzen
卒 Abschluss
傘 Schirm
匁 monme
以 mittels
似 ähnlich
併 zusammenfügen
瓦 Ziegel
瓶 Flasche
宮 Shinto-Schrein
営 Betrieb
